,0
10,"

화학적 산소 요구량
토목용어사전

chemical oxygen demand의 약어. 오염 물질 특히, 유기 물질량을 나타내는 방법의 하나. 산화제(과망간산 칼륨)를 이용하여 일정 조건(산화제 농도, 접촉시간 및 온도)에서 환원성 물질을 분해시켜 소비한 산소량을 ppm으로 표시한 것으로, BOD가 보급되고 나서는 참고 정도로 밖에 여겨지지 않는다.
외국어 표기 chemical oxygen demand(영어), 化學的酸素要求量(한자)
약어 COD(chemical oxygen demand)

"
11,임대차 계약에서 빌리는 측의 사람.
12,"연직 하중을 받는 면상(面狀) 부재로, 주로 면외 방향의 휨 내력에 저항하는 것. 바닥 슬래브로서는 철근 콘크리트 바닥널을 가리키는 것이 일반적이다."
13,"토사가 무너지는 것을 방지하기 위해 설치하는 구조물로, 재료적으로 보면 무근 콘크리트, 철근 콘크리트, 돌, 벽돌 등으로 나뉜다. 구조상으로는 중력식 옹벽 · 반중력식 옹벽 ‧ L형 옹벽 · 반T형 옹벽 · 버트레스식 옹벽이 있다. 반T형 옹벽은 높이 6m 정도까지 쓰인다."
14,"구분 소유된 건물에서 독립한 주거, 점포, 사무소 등으로서 개별적으로 소유하는, 구분 소유권의 대상이 되는 부분."
15,"전동기, 감속 장치, 와인딩 드럼 등을 일체로 통합시킨 소형의 감아 올리기 기계(권상기)로, 스스로 주행할 수 있는 것이 많다. 체인 호이스트, 공기 호이스트, 전기 호이스트 등이 있다."
16,"계단 도중에서 폭이 넓게 되어 있는 부분. 계단의 방향을 바꾼다든지, 피난, 휴식 등의 목적으로 설치된다."
17,"

멤브레인
매일경제

0.5~1.2㎜ 정도의 아주 얇은 막으로, LNG를 저장하는 화물창 안 벽에 넓게 접착된다. LNG와 직접 맞닿는 부분인 만큼 1차 방벽으로 불리곤 한다.

"
18,"외벽면에서 밖으로 돌출한 지붕. 외벽을 비로부터 보호하고, 개구부의 일조 조정의 구실을 한다."
19,① 환기통 내로의 비의 침입을 방지한다든지 상부의 흡인 효과를 늘려 역류를 방지할 목적으로 환기통 상부에 설치하는 갓.② 환기를 하기 위한 장치.
20,"배전반에서 배선된 간선을 다시 분기 배선하는 장치로 나무판 상에 컷아웃 스위치 또는 나이프 스위치를 배열한 극히 간단한 것부터 대리석반에 다수의 분기 개폐기, 보안기 및 모선을 취부하고, 혹은 유닛 스위치를 다수 조립한 것을 강판제의 상자속에 수납한 것까지 있다. 나무 상자에 수납하는 경우는 내면을 철판으로 감싼다."
21,1개소 혹은 수개소의 중앙 난방 기계실에서 넓은 지역에 산재하는 많은 건물에 고압 증기 또는 고압 온수를 난방용의 열원으로서 공급하는 방식. 건물에 있어서의 난방 방식은 보통의 난방과 같으나 각 건물에는 각각 보일러를 설치하지 않으므로 각기 굴뚝을 세울 필요가 없어 대기 오염원이 적어진다.
22,"관로 내의 물의 운동 상태를 갑자기 변화시켰을 때 생기는 물의 급격한 압력 변화의 현상. 급격한 압력 변화가 관내를 물결 모양으로 전하기 때문에 음을 발하고, 심할 때는 장치의 고장 원인이 되기도 한다."
23,"직접 지상으로 통하는 출입구가 있는 층. 계단을 통하지 않고 안전하게 지상으로 나올 수 있으며, 경사지 등에서는 2 이상의 층이 해당하기도 한다."
24,"벽이나 지붕, 바닥 등에 뚫린 구멍 또는 그 부분을 총칭하는 것. 창, 출입구 등."
25,"물체의 증발, 응축, 융해 등의 상태 변화에 따라 출입하는 열. 단위는 joule/g, ㎉/㎏ 등. 물의 증발 잠열(기화 잠열) 또는 수증기의 응측 잠열은 0℃일 때 대체로 597.3㎉/㎏ 이므로 온도 t℃, 무게 x㎏의 수증기 잠열의 엔탈피는 0℃를 기준으로 하면 약 597.3x(㎉)이다. 현열(顯熱)의 대비어."
26,보의 좌우에 2개의 장방형 사면을 붙인 것과 같은 모양의 지붕. 책을 펼쳐서 엎어놓은 모양.
27,"

중앙난방
부동산용어사전

지하실 또는 별도의 장소에 보일러 등의 열원을 설비하고 이로부터 다수의 건물에 증기, 온수 또는 온풍 등으로 열의 매체를 수송·공급하여 난방하는 방식으로 대규모 건축물에서 다수의 실의 난방에 적용된다. 이 방식은 이용이 편리하고 열효율도 높으며, 관리비도 적정하게 책정할 수 있다는 장점이 있으나, 개인이 온도의 조절을 하지 못한다는 단점이 있다.
외국어 표기 中央煖房(한자)

"
28,"

포스트모더니즘
무용이론사전

‘후기 모더니즘’이라는 뜻. 모더니즘에 대한 거부 및 반작용으로 나타난 예술 경향으로, 1960년대에 일어난 문화 운동이다. 그 후 포스트모더니즘은 문화의 차원을 넘어 사회, 정치, 경제 등 여러 분야로 확대되었다.
외국어 표기 postmodernism(영어)

"
29,널말뚝 또는 버팀기둥을 지지하기 위한 횡가재. 재종(材種)으로서 소나무 또는 I형강 · H형강 등이 쓰인다.
30,힘의 작용이 재축(材軸)에서 벗어나 작용하는 것. 힘이 편심하고 있는 경우는 재축 방향의 힘과 휨이 작용하고 있는 것과 같다. 그림 (a)와 같이 편심하여 힘이 가해지는 경우는 그림 (b)와 같이 N+M이 작용한다고 생각한다.
31,"대기 중에서 주위보다 기압이 낮은 것. 표준 기압보다 높은 곳에서도 주위보다 기압이 낮으면 저기압이라 한다. 저기압이 오면 흐리고 비나 눈이 내리는 경우가 많다. 기압이 가장 낮은 곳을 저기압의 중심이라 한다. 저기압의 중심은 주위의 기압이 높은 곳에서 바람이 불어온다. 저기압은 구조 · 성인 등에 따라 온대 저기압과 열대 저기압으로 대별하는데, 기타 지형성 저기압, 기온의 일변화에 의해 열적 저기압 등이 있다. 저기압에 반해서 주위보다 기압이 높은 것을 고기압(anticyclone)이라 한다. 고기압 역 내에서는 일기가 좋다. 고기압의 중심에서 주위의 기압이 낮은 쪽으로 바람이 분다. 저기압이나 고기압에는 이동성의 것이 많다."
32,"열관류에 의한 관류 열량의 계수로, 단위 표면적을 통해 단위 시간에 고체벽의 양쪽 유체가 단위 온도차일 때 한쪽 유체에서 다른쪽 유체로 전해지는 열량. 열통과율이라고도 한다. 기호 k 또는 U, 단위는 〔㎉/㎡h℃〕."
33,앞서 타설한 층의 콘크리트가 경화하기 시작한 후 다음 층이 계속 타설됨으로써 생기는 불연속적인 접합면. 대량의 콘크리트를 타설할 때 운반 시간이 너무 걸림으로써 생기는 작업의 중단이나 타설 순서가 적절하지 않는 등의 이유로 생기는 일이 있다.
34,"

폴리머
화학용어사전

구조 중에 다수의 반복 단위를 함유하는 고분자량 화합물. 일반적으로는 고중합체와 거의 같은 뜻으로 사용되지만 고중합체는 인공적으로 중합한 것이라는 뉘앙스가 강하므로 핵산이나 단백질 등은 바이오 폴리머라고는 하지만 바이오 중합체라고는 하지 않는다.
외국어 표기 polymer(영어)

"
35,"창, 출입구 등 벽면 개구부 위에 보를 얹어 상부의 하중을 받는 경우에 이 보를 인방이라 한다."
36,벽면의 맨 아래 부분에서 바닥과 벽의 마무리를 위해 부착한 수평 부재.
37,상부에서 매단 작업용 비계. 철골 공사 등에서 널리 쓰인다.
38,짧은 선을 좁은 간격으로 배열한 선. 건조물 · 물건 등 보이지 않는 부분의 형상을 나타내는 은선 등으로 사용한다.
39,한쪽의 세로틀 또는 거기에 부착한 경첩 등의 철물을 축으로 하여 회전하는 형식으로 개폐하는 문.
40,외력을 받아도 구조물이 이동 또는 회전하지 않도록 지점(支點)을 두었을 때 외력에 대한 저항력으로서 지점에 생기는 힘(이른바 힘 외에 고정 단 모멘트도 포함).
41,"

고밀도 폴리에틸렌
화학용어사전

분지가 적고 결정성이 높은 밀도 0.95 이상의 폴리에틸렌. 약어 HDPE, 경도, 기계적 강도, 내열성 등이 우수하나 가공성 등은 약간 열악하다. 공업적 제법에는 알킬알루미늄-할로겐화 티탄을 촉매로 하는 저압법(치글러 법)과 실리카-알루미나-크로미아 촉매에 의한 중압법(필립스 법)이 있다. 저밀도 폴리에틸렌의 대응어이다.
외국어 표기 高密度──(한자), high-density polyethylene(영어)
약어 HDPE
참조어 저밀도 폴리에틸렌

"
42,"전하를 가진 물체(대전체)나 전압이 가해진 선의 주위에서 전기력이 작용하는 장소. 대전 전하가 많을수록, 또 전압이 높을수록 전기력도 그 미치는 범위가 크다. 전계의 세기가 크면 선에 직접 접촉하지 않아도 감전한다."
43,① 부재의 접합부에 끼워 물이나 가스가 누설하는 것을 방지하는 패킹.② 수밀성 · 기밀성을 확보하기 위해 프리캐스트 철근 콘크리트의 접합부나 유리를 끼운 부분에 사용하는 합성 고무제의 재료.
44,"같은 지붕마루 내에서 건축물의 바닥 면적을 늘리는 것을 말하는데, 같은 대지 내에서 별채를 추가 신축하는 것도 증축이라 하는 경우가 있다."
45,"

다이어프램
환경공학용어사전

탄성이 있는 얇은 막의 간막이 판을 말한다. 천연 고무, 합성 고무, 금속판 등으로 만든다. 휨과 흡수하는 특성을 이용해서 여러 기기 부품에 이용되고 있다. 다이어프램 펌프와 같이 반복해서 만곡 시켜서 유체에 압력을 가하거나 만곡의 변위를 이용해서 압력의 측정과 유체의 개폐를 실행한다.
외국어 표기 diaphragm(영어)

"
46,"압축재의 좌굴 길이 lk를 단면 2차 반경 i로 나눈 값으로, 통상 λ로 표시. 세장비가 커지면 좌굴 하중은 작아진다. 각종 구조별로 세장비의 한도가 설계상 정해져 있다."
47,"

블리딩
토목용어사전

아직 굳지 않은 콘크리트, 모르타르 또는 그라우트에 있어서의 물이 상승하는 현상. 이 상승하는 물은 시멘트 기타의 미립자를 표면으로 운반하여 레이턴스를 만든다든지 굵은 골재의 아래면에 미소한 공극을 만든다. 콘크리트 블리딩의 측정에는 금속 원통의 측정기를 이용하지만 PC 그라우트 블리딩의 측정은 폴리에틸렌 주머니를 이용한다.
외국어 표기 bleeding(영어)

"
48,"

폴리비닐 알코올
도금기술 용어사전

PVA라고도 한다. 폴리초산비닐을 메틸알코올 용액으로 수산화나트륨을 가해, 30~50℃로 가수분해하면, 백색의 고체가 되어 침전된다. 물에 가용성으로 유기용매에는 불용성의 백색 분말이다. 아연도금의 첨가제로써 사용된다. 용도는 폴리비닐 알코올 합성섬유의 원료, 접착제, 호료(糊料), 필름 등에 사용된다.
외국어 표기 Polyvinyl Alcohol(영어)
약어 PVA
동의어 Polyvinyl Alcohol

"
49,"

플래시 오버
건축용어사전

화재의 초기 단계에서 연소물로부터의 가연성 가스가 천장 부근에 모이고 그것이 일시에 인화해서 폭발적으로 방 전체가 불꽃이 도는 현상.
외국어 표기 flash over(영어)

"
50,개구부 상부를 반원형 기타의 곡선 모양으로 한 것의 명칭.
51,"전력을 받아서 회전하고, 그 축에 회전력을 발생시키는 동력 기계. 공급되는 전기 방식에 따라 직류용 · 단상 교류용 · 3상 교류용 등이 있다."
52,"

박리
도금기술 용어사전

①도금피막을 기계적 방법 또는 화학적․전기화학적 방법으로 소지나 하지에서 벗겨지는 것을 말한다. 기계적 방법으로 벗겨지는 것을 Peeling이라고 한다.②도금피막이 밀착성을 잃어 소지나 하지에서 벗겨지는 것을 말한다.③침탄강이나 경질강이 하중을 받았을 때, 표면에서 그 금속의 얇은 조각이 벗겨져 떨어지는 것을 말한다.
외국어 표기 Peeling, Stripping, Spalling, Flaking(영어)
참조어 필링(Peeling)

"
53,"공기의 건구 온도, 습구 온도, 절대 습도, 상대 습도, 수증기압, 엔털피 등의 상호 관계를 그림으로 나타낸 것. 또 psychrometric chart는 감각 온도도를 의미하는 경우도 있다."
54,"접촉단(그림의 최하단)의 변위를 톱니바퀴에 의해 길이의 변화 변위 등을 정밀하게 측정하기 위한 계기. 윈판 눈금을 갖추고, 통상 1눈금이 0.01㎜, 0.001㎜로 매겨져 있다."
55,① 물체의 표면에 물체를 흡인하는 방향으로 가해지는 수직력. 흡인력이라고도 한다.
56,"① 길게 연속된 기초. 재료는 철근 콘크리트, 무근 콘크리트, 마름돌, 콘크리트 블록 등.② 건축물의 벽체 또는 기둥의 하중을 지지하는 연속한 기초."
57,"

갤러리
인테리어 용어사전

사원, 교회 등의 측랑 위층의 복도로 이에 유래되어 실내 복판이 뚫려 있는 주위에 둘러친 복도 부분이다. 건물의 외부 바깥 벽체에 돌려친 회랑, 화랑, 미술품 진열소를 뜻하기도 한다.
외국어 표기 gallery(영어), grille louver(영어)

"
58,"

티크
자연지리학사전

상록의 교목으로 대표적인 경재(硬材)의 하나이다. 23°N 이남의 동남아시아, 말레이 반도에 많이 분포한다. 티크의 재질은 대단히 견고하고, 습기에도 강하며 유분을 함유하고 있어서 충해(蟲害) 또한 철에 의한 부패를 방지하므로 철도 차량재, 침목, 건축재, 선박재 등에 사용된다.
외국어 표기 teak(영어)

"
59,화재 감지기의 일종. 주위 온도의 상승률이 소정의 값 이상일 때 동작하는 감지기. 스폿형과 분포형이 있다.
60,직선 측의 양단에 수나사가 절삭되어 있는 관 이음. 단주철(鍛鑄鐵)의 것과 강관제의 것이 있다.
61,"화산회, 화산암의 풍화물로, 가용성 규산을 많이 포함하고, 그 자신은 수경성(水硬性)은 없으나 물의 존재로 쉽게 석회와 화합하여 경화하는 성질의 것을 총칭해서 말한다. 시멘트 혼합재, 용성 백토, 규산 백토, 의회암의 풍화물 등의 천연 포졸란과 플라이애시(fly-ash) 등의 인공 포졸란이 있다. 위의 것과 같은 성질의 것이 처음에 이탈리아의 Pozzuoli에서 채취되었기 때문에 이 이름이 있다."
62,AE는 air-entraining의 약어. 콘크리트 속에 무수한 미세 기포를 포함시켜 콘크리트의 워커빌리티(workability)를 좋게 하기 위한 혼합제를 말한다. 공기 연행제(空氣連行劑)라고도 한다.
63,평면 도형의 중심(重心). 도심을 통하는 임의의 축에 관한 단면 1차 모멘트는 0이다. 구조 부재 단면의 도심은 단면의 중심과 같다.
64,"벽면이나 천장면에 접근하여 분출된 기류가 그 면에 빨려서 부착하여 흐르는 경향을 갖는 것을 말한다. 이 경우 한쪽만 확산하므로 자유 분류에 비해 속도의 감쇠가 작고, 도달 거리가 길어진다."
65,"해외 건설 공사 등의 계약방식의 하나로, 열쇠(키)를 돌리면 기계가 움직이는 상태로 하여 인도한다는 뜻에서 온 말이며, 일괄 수주 계약을 가리킨다. 정확하게는 풀 턴 키(full turn key)라 한다."
66,미분 방정식을 대수 방정식으로 변환하는 테크닉의 하나.
67,"

체임버
공조냉동건축설비 용어사전

송풍기의 출구, 덕트 분기부, 분출구 등에 설치하는 직방체의 평탄한 상자이다. 소음을 목적으로 설치하며 분기관 등에 비해서 공작이 용이하기 때문에 많이 사용된다.
외국어 표기 chamber(영어)

"
68,"화재시에 연기나 열기가 차기 쉬운 지하층을 대상으로 하여 소방 펌프차에서 송수구를 통해 압력수를 보내고, 살수 헤드에서 살수하여 소화하는 설비. 살수 헤드에는 폐쇄형과 개방형이 있다."
69,"

인테리어
건축용어사전

쾌적한 실내 환경을 만들어내기 위한 실내 마감재, 가구, 조명기구, 커튼 등의 총칭.
외국어 표기 interior(영어)

"
70,"

하울링
전자용어사전

확성 장치의 스피커와 마이크로폰이 접근하여 배치되어 있을 때 스피커에서 「삐」하는 소리를 발하는 현상. 이것은 스피커의 음이 마이크로폰에 들어가 증폭되어서 다시 스피커를 통해 나오는 식으로 정궤환의 루프가 형성됨으로써 발진 상태가 되기 때문에 일어나는 것으로, 전화기에서도 수화기에서 나온 음이 송화기에 들어가서 이러한 현상을 일으키는 일이 있다.
외국어 표기 howling(영어)

"
71,"복수의 공사 과목으로 이루어지는 공사비 내역서에 있어서의 대구분. 일반적으로 건물의 동별(棟別)이나 건축 공사, 설비 공사, 외구(外構) 공사 등의 분류를 말한다."
72,"강봉을 모재에 심는 일종의 아크 용접법으로, 막대(스터드)를 모재에 접속시켜 전류를 흘린 다음 막대를 모재에서 조금 떼어 아크를 발생시켜 적당히 용융했을 때 다시 용융지에 밀어붙여서 용착시키는 방법."
73,"주체 구조를 철근 콘크리트로 구축하는 구조를 말한다. 내진 · 내화 · 내구적이며, 자유로운 형상의 설계를 할 수 있지만 자중이 크고, 긴 공기를 필요로 하는 것이 결점이다."
74,"화재의 확대, 연소를 방지하기 위해 개구부에 설치하는 문. 건물 위주의 개구부에 설치하는 경우는 주로 연소를, 내부의 방화벽 등의 방화구획에 있는 개구부에 설치하는 경우는 확대를 방지하는 것이 목적."
75,콘크리트 타입 후 경화할 때 수분의 상승에 따라 그 표면에 나타나는 미세한 페이스트상 물질. 시멘트 분말의 불순분이나 골재 중의 페이스트분 등으로 경화력이 없어 이어붓기 부분의 일체화를 방해한다.
76,"

파수
광용어사전

파장의 역수. 파수를 κ, 파장을 λ라 하면 κ=1/λ이다. 위상 상수 2π/λ를 파수라 하는 경우도 있다. SI 단위계에서는 m-1, 분광학에서는 ㎝-1로 표시하는 경우가 많다.
외국어 표기 wave number(영어), 波數(한자)
참조어 카이저

"
77,"철근 콘크리트 제품의 일종으로, 제품에는 보, 슬래브, 침목 등이 있다. 콘크리트 인장 강도가 현저하게 작으므로, 인장 응력이 생기는 부분에 미리 압축의 프리스트레스를 주어 콘크리트의 인장 강도를 겉보기로 증가시키도록 한 것으로, 보의 인장측에 이 원리를 사용하면 보의 겉보기 휨 강도를 증가시킬 수 있다. 제작 방법에는 프리텐션법과 포스트 텐션법이 있다. 설계 하중을 받았을 때 균열이 생기지 않는다, 수축 균열이 적다, 항성과 가요성이 풍부하다는 등의 이점이 있다."
78,철근 콘크리트 공사에서 철근간의 간격이나 철근과 거푸집의 간격을 유지하기 위해 사용하는 받침 또는 부품.
79,"① 두 부재 사이에 끼워넣는 작은 조각. 양 부재의 간격을 정확하게 유지하기 위해 사용하는 경우가 많다. 또 두 재료가 접촉하여 파손하지 않도록 임시로 삽입하는 경우도 있다. 나무 조각의 채움재를 받침목 또는 굄목이라 한다.② 합성 수지에서 플라스틱 제품을 만들 때 증량, 보강, 성형 가공성의 개량 등을 위해 첨가하는 충전 재료."
80,"

플러싱
철도관련큰사전

기계나 장치 등의 신설이나 분해 수리 조립을 한 직후 배관 내나 윤활부에서 볼 수 있는 많은 먼지나 이물 또는 윤활유의 슬러지는 윤활부 등에 지장을 주어 고장의 원인이 되는 일이 있다. 그래서 새로운 윤활유를 급유하기 전에 플러싱 기름에는 일반적으로 청정제, 방청제 등을 첨가한 저점도 광유가 사용되고 있다.
외국어 표기 flushing(영어)

"
81,"

감리
광물자원용어사전

설계도서에 따라 건축물 등을 충실하게 건조하기 위하여 공정한 입장에서 공사의 시공, 지도, 감독을 하여 발주자를 돕는 것을 말한다.
외국어 표기 supervising(영어), 監理(한자)

"
82,증기압 등의 압력을 알기 위해 사용하는 공업용 압력계가 가리키는 압력은 절대 압력(증기압 등)과 대기 압력과의 차를 나타낸다. 이 압력을 게이트 압력이라 하고 절대 압력(absolute pressure)과 구별하고 있다.
83,"

플랜트
매일경제

전력 석유 가스 담수 등 제품을 생산할 수 있는 설비를 공급하거나 공장을 지어주는 산업을 말한다. 해외에서 플랜트를 수주하면 설비와 부품 상당부분을 국내에서 조달하기 때문에 전체 금액 중 절반 정도가 수출로 연결되는 것으로 업계에서는 파악하고 있다.

"
84,세 줄의 전선을 사용하여 3상의 전기를 보내는 방식. 일반 동력용 전동기의 전원 등으로 사용되고 있다.
85,"

로보틱스
건축용어사전

로봇+테크닉스(공학)의 합성어로, 로봇에 관한 기술 공학적 연구를 하는 학문. 센서 공학 · 인공 지능의 연구, 마이크로일렉트로닉스 기술의 종합적 학문 분야.
외국어 표기 robotics(영어)
동의어 로봇 공학(-工學)

"
86,"냉매에 의하여 저온을 얻어 액체를 냉각 또는 냉동시키는 기계의 총칭. 냉동기의 주요부는 압축기, 응축기, 팽창 밸브, 증발기의 네 부분으로 이루어져 있다. 냉매를 운반하는 방법에 따라 압축식(왕복, 회전, 원심 냉동기)과 흡수식이 있다."
87,건조물 · 물건 등의 정면도에 대하여 배면으로부터의 투영도.
88,"

테넌트
건축용어사전

건물의 일부를 빌리는 사람.
외국어 표기 tenant(영어)
동의어 임차인(賃借人, leaseholder)

"
89,"

3상 4선식
건축용어사전

3상 전류의 각상 전류의 크기가 다른 경우는 전류합이 0로는 되지 않으므로 한 줄의 귀전선을 더하여 송전선 3, 귀선 1선으로 하여 배전하는 방식.
외국어 표기 three-phase four-wire system(영어), 三相四線式(한자)

"
90,"건축의 설계, 공사 감리를 하는 사람(건축 기사, 건축사)."
91,"

공유지분
부동산용어사전

공유란 여러 명(공유자)이 한 단위 수량의 토지소유권을 공유하는 것으로, 개인 색채가 강한 공동소유의 형태이며, 공유지분이란 그 공유토지 중 차지할 수 있는 부분의 양을 말한다. 아파트 단지의 구분소유권자는 대지의 공유지분을 소유한다.
외국어 표기 共有持分(한자)

"
92,수수조(受水槽) 등으로의 인입관에서 밸브가 닫혔을 때 생기는 워터 해머를 방지하기 위해 자동적으로 폐지(閉止) 시간을 제어하여 수위를 일정하게 유지하는 유량 조정 밸브.
93,"물을 분무상으로 방사하여 연소면을 감싸서 소화하는 설비. 주차장 · 변전실 등 기름 화재 · 전기 화재에 사용하며, 분무수로 냉각, 질식 소화한다."
94,"구조 부재를 이루는 보의 일종으로, 벽의 일부가 되는 것."
95,무수물이 수화 작용에 의해 수화물로 바뀔 때 발생 또는 흡수하는 열량.
96,"

오일 스테인
인테리어 용어사전

유성착색료. 안료를 석유용제에 용해한 것. 목질 바탕(목재표면ㆍ마루바닥 등)에 목재 무늬를 드러나 보이게 하기 위해 칠하는 유성 착색제, 유용성염료를 유기용제(有機溶劑)에 용해하거나 유바니스(油바니스)를 혼합하여 만듬. 침투율이 크고 퇴색이 적음.
외국어 표기 oil stain(영어)
약어 OS

"
97,"골조를 구성하는 기둥이나 보, 지붕틀 구조 등의 막대 모양의 재료."
98,일정 기간에 걸친 연금의 현재 가치를 산출하기 위한 계수. 이자율과 연수에 따른 배율.
99,"

링크
산업안전대사전

체인을 구성하는 고리를 말한다. 이 외에 2개 이상의 막대 형상인 핀을 연결한 물건이며, 기구학에서 링크 장치(link motion)를 하도록 하기 위해 사용되는 연결시키는 물건도 있다.
외국어 표기 link(영어)

"
100,"

샌드위치 패널
환경공학용어사전

다른 종류의 재료를 샌드위치 모양으로 쌓아 올려 접착제로 접착한 특수 합판이다. 일반적으로 표면판은 플라스틱판, 알루미늄판, 스테인리스판 등의 강도가 큰 재료를 사용하고, 심재(心材)는 종이, 목재, 발포 플라스틱재 등을 삽입하여 보온, 방음, 강도 등을 고려해 만들고 있다.
외국어 표기 sandwitch panel(영어)

"
101,"① 길고 큰 건물의 부동 침하나 온도 변화, 진동 등에 의한 장애를 피하기 위해 구조재를 분리하여 시공하고 그 사이를 구리, 황동판 등으로 이은 신축 가능한 이음을 말한다."
102,"

영선
건축용어사전

건축물의 신축, 증개축, 유지 수선 등을 계획, 발주, 감리하는 업무.
외국어 표기 building and repairs(영어), 營繕(한자)

"
103,"

교량
토목용어사전

교통로, 수로(水路)등이 하천, 계곡, 움푹 꺼진 땅, 그 밖에 이들 통로의 기능을 저해하는 것에 직면했을 경우 이것을 넘기 위한 목적으로 만들어지는 각종 구조물.
외국어 표기 bridge(영어), 橋梁(한자)

"
104,"

스프링 상수
자동차 용어사전

힘(또는 토크)의 변화와 이것에 대응하는 스프링 요소의 직선 변위(또는 회전 변위)와의 비를 말한다.
외국어 표기 spring constant(영어)

"
105,"태양열을 이용하여 난방이나 온수를 얻을 수 있게 한 주택 형식의 하나. 반사경이나 태양 전지를 지붕 등에 설치하고, 태양열을 온수로 바꾸어 축열조에 저장하여 난방이나 급탕에 사용한다. 히트 펌프를 사용함으로써 냉방도 가능하다."
106,"

싱글 베드
패션전문자료사전

일인용의 작은 침대. 베드의 폭이 100㎝ 근처의 것을 말한다. 요즘에는 조금 더 큰 슈퍼 싱글 사이즈가 인기를 얻고 있다. 별명 트윈 사이즈 베드라고도 한다.
외국어 표기 single bed(영어)

"
107,"미리 작성된 부지의 조사도를 바탕으로 하여 건축물과 부지 · 도로의 위치 관계, 부지 내의 여러 시설 및 지형 등을 나타내는 그림. 건축물은 1층 평면을 대상으로 하고, 부지나 건물이 소규모인 경우는 건축물의 평면도 또는 지붕 평면도와 겸하는 경우도 있다."
108,화재시에 불꽃 · 연기 등을 차단하기 위해 덕트 내에 설치하는 장치. 덕트가 방화 구획을 관통하는 부근에 설치된다. 온도가 상승하면 퓨즈가 녹아서 자동적으로 닫는다.
109,"전력 회사에서 전력을 수전하여 필요한 사용 전압으로 변전하고, 이를 필요한 곳으로 배전하기 위한 장치, 기기로 구성되는 설비."
110,뉴턴의 냉각 법칙에 의한 열전달량의 계수. 열전달 계수 α는 단위 시간에 단위 온도차일 때 단위 표면적으로 행하여지는 열전달량. 단위 ㎉/㎡h℃.
